seller-sku	asin1	item-name	item-description	listing-id	price	quantity	open-date	product-id-type	item-note	product-id
GB-1747-20-White	B07LG1C6FJ	Funny Husky Coffee Mug Any Woman Can Be a Mother But It Takes Someone Special To Be a Husky Mama Husky Mom Gift For Husky Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR HUSKY LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Husky Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Husky lover’s friends will actually use and enjoy for years to come, then check out this Husky Coffee mug! </br>	1218UU9E8L6	14.95	100	2018-12-17 23:59:54 PST	1		B07LG1C6FJ
GB-2054784-20-White	B07LFHPHBY	Funny Chihuahua Coffee Mug I'm Telling You I'm Not A Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217USUVFR5	14.95	100	2018-12-17 05:48:32 PST	1		B07LFHPHBY
GB-2054784-43-White	B07LFH5ZHH	I'm Not A Chihuahua Mug	Absolutely love your order or contact us and we'll make it right. Your satisfaction is 100% guaranteed.	1217USUD630	17.95	100	2018-12-17 05:50:58 PST	1		B07LFH5ZHH
GB-2063231-20-White	B07LFB5KS4	Funny Yorkie Coffee Mug I'm Telling You I'm Not A Yorkie Yorkshire Terrier Yorkie Mom Gift For Yorkie Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR YORKIE LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Yorkie Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Yorkie lover’s friends will actually use and enjoy for years to come, then check out this Yorkie Coffee mug! </br>	1217USI10TP	14.95	100	2018-12-17 01:34:44 PST	1		B07LFB5KS4
GB-2130276-20-Black	B07LFG9L9D	Funny Chihuahua Coffee Mug Best Friend For Life Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217USTXRR9	17.95	100	2018-12-17 05:42:16 PST	1		B07LFG9L9D
GB-2130276-43-Black	B07LFG9C3J	Funny Chihuahua Coffee Mug Best Friend For Life Chihuahua Mom Gift For Chihuahua Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR CHIHUAHUA LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Chihuahua Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Chihuahua lover’s friends will actually use and enjoy for years to come, then check out this Chihuahua Coffee mug! </br>	1217USTD8M1	19.95	100	2018-12-17 05:44:30 PST	1		B07LFG9C3J
GB-2135058-20-White	B07LF9FC5K	Funny Yorkie Coffee Mug I Work Hard So My Yorkie Can Have A Better Life Yorkshire Terrier Gift Yorkie Mom Gift For Yorkie Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR YORKIE LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Yorkie Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Yorkie lover’s friends will actually use and enjoy for years to come, then check out this Yorkie Coffee mug! </br>	1217USH1LJ9	14.95	99	2018-12-17 01:32:26 PST	1		B07LF9FC5K
GB-2135272-20-White	B07LFKDF4B	Funny Shih Tzu Coffee Mug I Love All Dogs But I Only Drink Coffee With Shih Tzu Mom Gift For Shih Tzu Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR SHI TZU LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Shi Tzu Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Shi Tzu lover’s friends will actually use and enjoy for years to come, then check out this Shi Tzu Coffee mug! </br>	1217UT8KRSQ	14.95	99	2018-12-17 10:51:34 PST	1		B07LFKDF4B
GB-2135272-43-White	B07LF9T3HG	Funny Shih Tzu Coffee Mug I Love All Dogs But I Only Drink Coffee With Shih Tzu Mom Gift For Shih Tzu Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR SHI TZU LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Shi Tzu Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Shi Tzu lover’s friends will actually use and enjoy for years to come, then check out this Shi Tzu Coffee mug! </br>	1217USWVTC0	16.95	100	2018-12-17 10:53:14 PST	1		B07LF9T3HG
GB-2139461-20-White	B07LFKKYZ2	Funny Yorkie Coffee Mug I Love All Dogs But I Only Drink Coffee With Yorkie Mom Gift For Yorkie Lovers	<b>WITH THIS MUG, YOU CAN MAKE YOUR YORKIE LOVERS FRIENDS LIGHT UP WITH DELIGHT!</b> <br> The best gifts are both personal and functional, and that’s why this Yorkie Coffee Mug is a fantastic choice. </br> <br> You can also dress the mug up even more by placing additional gifts inside, such as stickers, magnets, candies and chocolates, or coffee grounds and tea bags. </br> <br> If you’re looking for a gift that your Yorkie lover’s friends will actually use and enjoy for years to come, then check out this Yorkie Coffee mug! </br>	1217UT69BRE	14.95	100	2018-12-17 10:45:18 PST	1		B07LFKKYZ2
